CONTEXT,HYPOTHESIS,LABEL,CONTEXT_FROM,HYPOTHESIS_FROM,SUBSET
"Children in a village that appears to be in an asian country are hopping in bags , it looks as if they are in the middle of a race .",A person speaks at the hopping .,1,SNLI-train,AGCI-WK,AGCI
"Over a dozen people surrounding and taking pictures of two people in all covered head to toe in all silver , in an artistic pose .",A person likes the silver .,3,SNLI-train,AGCI-WK,AGCI
A housekeeper with a blue uniform sweeps the floors .,A healer is hired by the housekeeper .,2,SNLI-train,AGCI-WK,AGCI
My friend asked if he can have a chip,The chip is droppings .,1,ROCStories,AGCI-WK,AGCI
My friend and I got together for the carnival,The carnival is held in a city .,4,ROCStories,AGCI-WK,AGCI
The farmer looked at his apple tree and counted the apples,The apples are edible fruit .,5,ROCStories,AGCI-WK,AGCI
"A man in a purple shirt is doing a dance move that is very low to the floor , the audience looks on with enjoyment .",The enjoyment is a lofty goal .,1,SNLI-train,AGCI-WK,AGCI
When Mitt was ten he wanted to be a pro wrestler,He would practice on his little brother in the living room.,3,ROCStories-1st,ROCStories-2nd,ROC
The train conductor looked up from his controls,He blew the train whistle to alert him.,3,ROCStories-1st,ROCStories-3rd,ROC
"Two sunbathers , a man and a woman , soak in the sun .",The sunbathers are an idler .,3,SNLI-train,AGCI-WK,AGCI
"Four men , dressed in white overall suits that prevent infection , are in a room with mechanical equipments and a ladder .",The infection spreads .,3,SNLI-train,AGCI-WK,AGCI
An very nice capture of a soccer game going on between two men as the man from the team in black attempts to interrupt the red and white teams stride .,The capture is a felony .,1,SNLI-train,AGCI-WK,AGCI
A young girl jumps high with the help of her bungie harness device and a safety spotter .,A company has the spotter .,2,SNLI-dev,AGCI-WK,AGCI
Francis had given up on finding a lover,Letters are entrusted to the lover .,1,ROCStories,AGCI-WK,AGCI
My first cross-country run took place today,"After the flag was waved, everyone started to run.",4,ROCStories-1st,ROCStories-2nd,ROC
The woman in the pink bikini and the man in the black swim trunks frolic in the ocean and get their picture taken while in midair .,A scene is depicted in the frolic .,1,SNLI-train,AGCI-WK,AGCI
A shirtless man climbs a rock wall .,The wall is a early example of a design .,2,SNLI-train,AGCI-WK,AGCI
A child is playing with an arcade whack a mole style fish game .,The whack is a sound .,2,SNLI-train,AGCI-WK,AGCI
A telephone repairman looks down from above while repairing his lines .,The repairman is a mender .,5,SNLI-train,AGCI-WK,AGCI
A race car on a track has flames shooting from the rear .,A person wants to kick the rear .,3,SNLI-train,AGCI-WK,AGCI
A sidewalk sideshow performs for a little boy .,The sideshow continues to strengthen .,3,SNLI-train,AGCI-WK,AGCI
Kenya met up with her ex-boyfriend at a coffee spot,The spot is an occupation .,2,ROCStories,AGCI-WK,AGCI
"A man tries to remove an opossum from underneath a bar with a broom , while people watch in the background .",The opossum becomes the first marsupial .,2,SNLI-train,AGCI-WK,AGCI
