CONTEXT,HYPOTHESIS,LABEL,CONTEXT_FROM,HYPOTHESIS_FROM,CONTEXT_ID,HYPOTHESIS_ID,SUBSET
Girl in black jacket sifting powdered sugar over a chocolate cake.,The girl is preparing a chocolate cake.,5,SNLI-train,SNLI-ENTAILMENT,100207720.jpg#3,100207720.jpg#3r1e,SNLI
Girl in black jacket sifting powdered sugar over a chocolate cake.,The chocolate cake is for a group of people to eat.,3,SNLI-train,SNLI-NEUTRAL,100207720.jpg#3,100207720.jpg#3r1n,SNLI
Girl in black jacket sifting powdered sugar over a chocolate cake.,The girl in a black jacket puts chocolate cake batter into the oven to bake.,1,SNLI-train,SNLI-CONTRADICTION,100207720.jpg#3,100207720.jpg#3r1c,SNLI
A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.,Two people are at working on the conveyor.,5,SNLI-train,SNLI-ENTAILMENT,1010087623.jpg#0,1010087623.jpg#0r5e,SNLI
A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.,The conveyor carries cartons of crayons.,2,SNLI-train,SNLI-NEUTRAL,1010087623.jpg#0,1010087623.jpg#0r5n,SNLI
A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.,An American and an Hispanic worked at the clothing store.,2,SNLI-train,SNLI-CONTRADICTION,1010087623.jpg#0,1010087623.jpg#0r2c,SNLI
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window.,The man is walking.,5,SNLI-train,SNLI-ENTAILMENT,10188041.jpg#0,10188041.jpg#0r3e,SNLI
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window.,The space spy ignores his parking tickets.,1,SNLI-train,SNLI-NEUTRAL,10188041.jpg#0,10188041.jpg#0r4n,SNLI
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window.,The spaceship of the future is only available in blue.,1,SNLI-train,SNLI-CONTRADICTION,10188041.jpg#0,10188041.jpg#0r4c,SNLI
A group of youths march down the street waving flags showing the color spectrum.,The youth are outside.,5,SNLI-train,SNLI-ENTAILMENT,1029802110.jpg#1,1029802110.jpg#1r1e,SNLI
A group of youths march down the street waving flags showing the color spectrum.,The youth are LGBT.,3,SNLI-train,SNLI-NEUTRAL,1029802110.jpg#1,1029802110.jpg#1r1n,SNLI
A group of youths march down the street waving flags showing the color spectrum.,The youth are sleeping.,1,SNLI-train,SNLI-CONTRADICTION,1029802110.jpg#1,1029802110.jpg#1r1c,SNLI
A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.,A samurai is training outside,5,SNLI-train,SNLI-ENTAILMENT,104835889.jpg#0,104835889.jpg#0r1e,SNLI
A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.,A warrior prepares to fight an enemy.,3,SNLI-train,SNLI-NEUTRAL,104835889.jpg#0,104835889.jpg#0r4n,SNLI
A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.,The civil war general rears back on his horse.,1,SNLI-train,SNLI-CONTRADICTION,104835889.jpg#0,104835889.jpg#0r5c,SNLI
Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.,Kids are seen playing near a mound of dirt,4,SNLI-train,SNLI-ENTAILMENT,1065323785.jpg#0,1065323785.jpg#0r3e,SNLI
Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.,The kids are near a construction site.,3,SNLI-train,SNLI-NEUTRAL,1065323785.jpg#0,1065323785.jpg#0r5n,SNLI
Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.,Kids riding in a car in a field.,1,SNLI-train,SNLI-CONTRADICTION,1065323785.jpg#0,1065323785.jpg#0r4c,SNLI
An Asian couple walks in the shopping district.,People are strolling.,5,SNLI-train,SNLI-ENTAILMENT,107532584.jpg#2,107532584.jpg#2r1e,SNLI
An Asian couple walks in the shopping district.,Two people are holding hands.,3,SNLI-train,SNLI-NEUTRAL,107532584.jpg#2,107532584.jpg#2r1n,SNLI
An Asian couple walks in the shopping district.,Two people are running through a forest.,1,SNLI-train,SNLI-CONTRADICTION,107532584.jpg#2,107532584.jpg#2r1c,SNLI
Looks like everyone is getting good gas mileage here with all these beautiful scooters!,Some beings looking.,2,SNLI-train,SNLI-ENTAILMENT,1084527029.jpg#0,1084527029.jpg#0r1e,SNLI
Looks like everyone is getting good gas mileage here with all these beautiful scooters!,Tall beings looking.,0,SNLI-train,SNLI-NEUTRAL,1084527029.jpg#0,1084527029.jpg#0r1n,SNLI
Looks like everyone is getting good gas mileage here with all these beautiful scooters!,Nothing is looking.,0,SNLI-train,SNLI-CONTRADICTION,1084527029.jpg#0,1084527029.jpg#0r1c,SNLI
Stevedores are waiting for a boat to dock.,Some people are at a dock.,5,SNLI-train,SNLI-ENTAILMENT,1101207553.jpg#4,1101207553.jpg#4r1e,SNLI
Stevedores are waiting for a boat to dock.,Some men are preparing to unload to upcoming ship.,4,SNLI-train,SNLI-NEUTRAL,1101207553.jpg#4,1101207553.jpg#4r1n,SNLI
Stevedores are waiting for a boat to dock.,A man has fallen in the water.,2,SNLI-train,SNLI-CONTRADICTION,1101207553.jpg#4,1101207553.jpg#4r1c,SNLI
A girl in red short and a white T-shirt underground looking out of a hole.,A person looking out of a hole.,5,SNLI-train,SNLI-ENTAILMENT,111737806.jpg#2,111737806.jpg#2r1e,SNLI
A girl in red short and a white T-shirt underground looking out of a hole.,A person wearing an american shirt looking out of a hole.,3,SNLI-train,SNLI-NEUTRAL,111737806.jpg#2,111737806.jpg#2r1n,SNLI
A girl in red short and a white T-shirt underground looking out of a hole.,A person wearing all black looking into a hole.,1,SNLI-train,SNLI-CONTRADICTION,111737806.jpg#2,111737806.jpg#2r1c,SNLI
Someone working on a project using a jigsaw cutting machine.,Someone is using a saw,5,SNLI-train,SNLI-ENTAILMENT,1131883759.jpg#2,1131883759.jpg#2r1e,SNLI
Someone working on a project using a jigsaw cutting machine.,A woman is cutting wood.,3,SNLI-train,SNLI-NEUTRAL,1131883759.jpg#2,1131883759.jpg#2r1n,SNLI
Someone working on a project using a jigsaw cutting machine.,Someone is baking a cake.,1,SNLI-train,SNLI-CONTRADICTION,1131883759.jpg#2,1131883759.jpg#2r1c,SNLI
A woman in a green shirt is working on a horse's hoof.,A lady is working on an animal.,5,SNLI-train,SNLI-ENTAILMENT,11382381.jpg#2,11382381.jpg#2r1e,SNLI
A woman in a green shirt is working on a horse's hoof.,A lady is wearing green for a special cause.,3,SNLI-train,SNLI-NEUTRAL,11382381.jpg#2,11382381.jpg#2r1n,SNLI
A woman in a green shirt is working on a horse's hoof.,A woman is riding an elephant.,2,SNLI-train,SNLI-CONTRADICTION,11382381.jpg#2,11382381.jpg#2r1c,SNLI
A baby wearing a green bib with a frog on it is crying.,a baby is sad,4,SNLI-train,SNLI-ENTAILMENT,1149097018.jpg#1,1149097018.jpg#1r1e,SNLI
A baby wearing a green bib with a frog on it is crying.,a baby is hungry,3,SNLI-train,SNLI-NEUTRAL,1149097018.jpg#1,1149097018.jpg#1r1n,SNLI
A baby wearing a green bib with a frog on it is crying.,a baby is smoking a cigarette,2,SNLI-train,SNLI-CONTRADICTION,1149097018.jpg#1,1149097018.jpg#1r1c,SNLI
An elderly woman places carrots into a casserole.,An elderly woman puts carrots into a casserole,5,SNLI-train,SNLI-ENTAILMENT,11536856.jpg#4,11536856.jpg#4r1e,SNLI
An elderly woman places carrots into a casserole.,An elderly woman slices carrots for a casserole,3,SNLI-train,SNLI-NEUTRAL,11536856.jpg#4,11536856.jpg#4r1n,SNLI
An elderly woman places carrots into a casserole.,An elderly woman puts beets into a casserole,2,SNLI-train,SNLI-CONTRADICTION,11536856.jpg#4,11536856.jpg#4r1c,SNLI
Three men are setting up a sledge on a snowy plain.,People want to use a sledge.,4,SNLI-train,SNLI-ENTAILMENT,115684808.jpg#1,115684808.jpg#1r1e,SNLI
Three men are setting up a sledge on a snowy plain.,People are ready to go down hill on snow.,4,SNLI-train,SNLI-NEUTRAL,115684808.jpg#1,115684808.jpg#1r1n,SNLI
Three men are setting up a sledge on a snowy plain.,Men are running on sand.,1,SNLI-train,SNLI-CONTRADICTION,115684808.jpg#1,115684808.jpg#1r1c,SNLI
Man using a sander to remove rust of metal.,The man is working on the metal.,5,SNLI-train,SNLI-ENTAILMENT,116976749.jpg#4,116976749.jpg#4r1e,SNLI
Man using a sander to remove rust of metal.,The man is restoring a car.,3,SNLI-train,SNLI-NEUTRAL,116976749.jpg#4,116976749.jpg#4r1n,SNLI
Man using a sander to remove rust of metal.,The man is painting his shed.,2,SNLI-train,SNLI-CONTRADICTION,116976749.jpg#4,116976749.jpg#4r1c,SNLI
"A Mac laptop, open, on top of a blue chair in a room with a group of people sitting in a semicircle around it.",A group of people sit around a laptop,5,SNLI-train,SNLI-ENTAILMENT,117883760.jpg#0,117883760.jpg#0r3e,SNLI
"A Mac laptop, open, on top of a blue chair in a room with a group of people sitting in a semicircle around it.",A group of people wearing business suits are sitting in a semicircle around a blue laptop.,3,SNLI-train,SNLI-NEUTRAL,117883760.jpg#0,117883760.jpg#0r2n,SNLI
"A Mac laptop, open, on top of a blue chair in a room with a group of people sitting in a semicircle around it.",A group of employees are sitting around a conference table.,3,SNLI-train,SNLI-CONTRADICTION,117883760.jpg#0,117883760.jpg#0r2c,SNLI
A group of restaurant workers and a large copper bowl.,A group of restaurant workers and a large bowl,5,SNLI-train,SNLI-ENTAILMENT,117956563.jpg#2,117956563.jpg#2r1e,SNLI
A group of restaurant workers and a large copper bowl.,A large group of restaurant workers and a large copper bowl,4,SNLI-train,SNLI-NEUTRAL,117956563.jpg#2,117956563.jpg#2r1n,SNLI
A group of restaurant workers and a large copper bowl.,A single restaurant worker and a large copper bowl,1,SNLI-train,SNLI-CONTRADICTION,117956563.jpg#2,117956563.jpg#2r1c,SNLI
Two young male hikers using a map and compass to find their direction in the woods.,People in the woods using a map.,5,SNLI-train,SNLI-ENTAILMENT,121861208.jpg#2,121861208.jpg#2r1e,SNLI
Two young male hikers using a map and compass to find their direction in the woods.,Hikers in Muir Woods using a map.,3,SNLI-train,SNLI-NEUTRAL,121861208.jpg#2,121861208.jpg#2r1n,SNLI
Two young male hikers using a map and compass to find their direction in the woods.,People on a city street using a map.,1,SNLI-train,SNLI-CONTRADICTION,121861208.jpg#2,121861208.jpg#2r1c,SNLI
Two men take measurements of a wall at an open construction site.,A construction worker takes measurements of the wall.,5,SNLI-train,SNLI-ENTAILMENT,122868800.jpg#1,122868800.jpg#1r1e,SNLI
Two men take measurements of a wall at an open construction site.,A construction worker takes measurements of the wall at an closed construction site.,2,SNLI-train,SNLI-NEUTRAL,122868800.jpg#1,122868800.jpg#1r1n,SNLI
Two men take measurements of a wall at an open construction site.,No one is working,1,SNLI-train,SNLI-CONTRADICTION,122868800.jpg#1,122868800.jpg#1r1c,SNLI
Two men practicing MMA submission holds,Two men practice.,5,SNLI-train,SNLI-ENTAILMENT,123315267.jpg#4,123315267.jpg#4r1e,SNLI
Two men practicing MMA submission holds,Two men practice wrestling.,5,SNLI-train,SNLI-NEUTRAL,123315267.jpg#4,123315267.jpg#4r1n,SNLI
Two men practicing MMA submission holds,Two men practice dancing.,1,SNLI-train,SNLI-CONTRADICTION,123315267.jpg#4,123315267.jpg#4r1c,SNLI
"Three people, one with a black shirt, one with a navy blue jacket, and one with a red t-shirt, working in an office with a large messy bookshelf.","Three humans are in an office, and all have different clothes on.",5,SNLI-train,SNLI-ENTAILMENT,123628218.jpg#0,123628218.jpg#0r3e,SNLI
"Three people, one with a black shirt, one with a navy blue jacket, and one with a red t-shirt, working in an office with a large messy bookshelf.",The three people are talking as they work in the office.,3,SNLI-train,SNLI-NEUTRAL,123628218.jpg#0,123628218.jpg#0r5n,SNLI
"Three people, one with a black shirt, one with a navy blue jacket, and one with a red t-shirt, working in an office with a large messy bookshelf.",Three people all wearing the same outfit are lying around in a nice clean car.,1,SNLI-train,SNLI-CONTRADICTION,123628218.jpg#0,123628218.jpg#0r1c,SNLI
Two emergency responders are at the scene of an incident.,The emergency responders are on the scene.,5,SNLI-train,SNLI-ENTAILMENT,1237177353.jpg#3,1237177353.jpg#3r1e,SNLI
Two emergency responders are at the scene of an incident.,The emergency responders are at a car accident.,3,SNLI-train,SNLI-NEUTRAL,1237177353.jpg#3,1237177353.jpg#3r1n,SNLI
